price,sale_month,sale_day,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,Yr_house,renovation,rnovation
320000,7,29,3,1.75,2300,12000,1,0,0,3,8,1770,530,47.7599,-122.343,2030,6000,73,0,1
230000,9,23,3,1,1640,7187,1,0,0,3,7,1640,0,47.455,-122.182,1340,8346,49,0,1
515000,7,16,3,2.5,2360,11254,1,0,2,3,9,2360,0,47.3356,-122.333,2390,11254,25,0,1
730000,6,2,4,2,2360,6000,1,0,0,5,7,1260,1100,47.6534,-122.41,1720,6000,76,0,1
649000,3,9,2,2.75,2090,23962,2,0,3,4,8,2090,0,47.4145,-122.44,1820,32340,27,0,1
715000,11,4,5,1.75,1920,6500,1,0,0,3,7,1260,660,47.6394,-122.308,1970,5500,64,0,1
475000,4,16,3,2.25,1190,1200,3,0,0,3,8,1190,0,47.6542,-122.346,1180,1224,7,0,1
527500,10,21,3,2.5,1380,1389,3,0,0,3,8,1380,0,47.6427,-122.327,1380,1249,7,0,1
564500,3,23,4,2.25,1950,6000,1,0,0,3,7,1350,600,47.6909,-122.301,1980,6000,54,0,1
337500,5,14,5,2,1700,7314,1,0,0,3,7,1000,700,47.549,-122.305,2000,7176,59,0,1
650000,2,20,4,1.75,1900,10454,1,0,0,4,7,1180,720,47.5933,-122.195,2060,11325,61,0,1
270000,9,8,3,2.25,1750,8400,1,0,0,3,7,1350,400,47.4571,-122.272,2020,9110,50,0,1
496500,1,8,3,2.5,2260,3640,2,0,0,3,8,2260,0,47.7356,-122.157,2350,3710,21,0,1
162000,1,7,4,1,1460,16638,1,0,0,4,6,1460,0,47.3431,-122.048,1460,16638,40,0,1
640000,8,22,4,2.5,2320,11259,2,0,0,3,9,2320,0,47.6443,-122.194,2820,11770,33,0,1
615000,1,23,3,1.75,2110,56192,1,0,0,3,7,1480,630,47.7701,-122.138,2570,46609,37,0,1
315000,12,8,3,3.25,1480,983,2,0,0,3,8,1180,300,47.5555,-122.363,1330,1062,2,0,1
355000,6,27,2,2.25,1330,10838,2,0,0,3,8,1330,0,47.7689,-122.241,1390,10310,30,0,1
1038000,7,2,4,1.75,1440,13296,1,0,0,4,8,1440,0,47.634,-122.204,3520,10802,48,0,1
2187730,8,12,4,4.5,4240,13162,2,0,0,3,10,4240,0,47.6193,-122.229,3010,12163,11,0,1
272000,10,16,4,2.25,2040,7600,1,0,0,4,8,1580,460,47.3169,-122.365,2130,7200,37,0,1
475200,8,11,3,2.5,1670,3980,2,0,0,3,8,1670,0,47.5317,-122.047,1670,2897,15,0,1
334200,3,23,3,1.75,1410,45302,1,0,0,3,7,1410,0,47.7077,-121.914,2240,49222,35,0,1
200000,6,11,2,1,700,4700,1,0,0,5,5,700,0,47.4953,-122.169,960,5200,62,0,1
803100,5,15,4,2.5,3310,5404,2,0,0,3,9,3310,0,47.6635,-122.083,2600,4730,11,0,1
365000,10,13,4,2.25,1990,21312,1,0,0,4,8,1990,0,47.439,-122.144,2400,19210,47,0,1
520000,1,28,4,2.5,2410,6440,1,0,0,3,8,1550,860,47.7153,-122.191,2330,6938,41,0,1
270000,9,16,2,1.5,1380,209959,1,0,0,1,6,1380,0,47.7461,-122.195,3130,19868,61,0,1
490000,4,28,3,2.25,2330,3600,1,0,0,3,8,2330,0,47.631,-122.061,2050,4275,44,0,1
299000,10,27,3,1.5,1190,9135,1,0,0,4,7,1190,0,47.5164,-122.189,1520,9146,56,0,1
399000,11,12,2,1,790,4000,1,0,0,3,6,790,0,47.6844,-122.289,990,5000,67,0,1
542126,7,16,4,2.5,2360,43088,2,0,0,3,8,2360,0,47.7661,-122.071,2850,39216,38,0,1
335000,10,23,4,2.5,1980,4745,2,0,0,3,7,1980,0,47.3495,-122.04,1980,4878,11,0,1
361280,5,7,2,1,820,6400,1,0,0,4,7,820,0,47.55,-122.379,1490,6400,71,0,1
272000,12,31,4,2.75,1810,7350,1,0,0,4,7,1200,610,47.3703,-122.171,1750,7350,35,0,1
325000,2,11,3,1.5,1320,7560,1,0,0,3,6,840,480,47.7451,-121.98,1210,7560,32,0,1
299000,8,5,1,1,740,5000,1,0,0,3,7,740,0,47.5519,-122.292,1400,4400,92,0,1
460000,11,20,4,2,2090,40419,1,0,0,4,7,2090,0,47.4691,-121.993,2380,63162,31,0,1
375000,8,7,3,2.5,2320,5760,1,0,0,3,7,1480,840,47.504,-122.248,1660,5762,28,0,1
583500,2,2,4,1,1530,3900,1,0,0,4,7,1530,0,47.6748,-122.379,1300,3900,107,0,1
248500,1,6,3,2.5,1360,7293,2,0,0,3,8,1360,0,47.3304,-122.302,1540,7353,27,0,1
900000,2,11,6,3,2620,4350,1,0,0,3,7,1760,860,47.678,-122.373,1760,4300,58,0,1
340000,2,13,4,2.5,2181,5521,2,0,0,3,8,2181,0,47.3503,-122.291,2333,5143,9,0,1
362300,6,23,3,2.5,2430,15264,2,0,0,3,8,2430,0,47.3805,-122.208,2260,10416,18,0,1
403000,4,20,2,1,894,1552,2,0,0,3,7,894,0,47.6911,-122.313,1131,1992,4,0,1
724950,4,2,4,2.5,2860,3638,1,0,2,5,7,1720,1140,47.6631,-122.361,1760,3880,91,0,1
550000,2,11,4,2.5,2090,6926,2,0,0,3,8,2090,0,47.6339,-122.022,2000,7151,25,0,1
545000,7,23,4,2.75,3410,35040,2,0,0,3,9,3410,0,47.4054,-122.03,2580,37263,31,0,1
632500,6,20,4,2.5,2090,10306,2,0,0,3,10,2090,0,47.6304,-122.051,2660,11481,29,0,1
975000,11,14,5,3.5,5470,35071,2,0,0,3,11,4590,880,47.6368,-122.159,3600,35074,39,0,1
449950,4,22,4,3,3290,10783,2,0,0,3,9,3290,0,47.3904,-122.178,2810,10783,25,0,1
535000,5,27,4,2.5,2340,5600,2,0,0,3,7,2340,0,47.5117,-122.379,1310,5600,94,1,0
470000,10,20,3,3.5,1280,1257,2,0,0,3,8,1040,240,47.6721,-122.374,1280,1249,15,0,1
500000,11,25,4,2,2760,27631,2,0,0,4,8,1800,960,47.7484,-122.291,2490,13158,37,0,1
652450,12,3,3,2.25,2230,11835,1,0,0,5,8,1630,600,47.563,-122.178,2190,10384,41,0,1
455000,8,11,3,2.75,2720,31314,3,0,2,3,8,2720,0,47.3689,-122.163,2290,15188,29,0,1
601450,10,8,2,3.25,1840,1500,3,0,0,3,8,1840,0,47.6595,-122.354,1910,2500,14,0,1
805000,11,20,4,3,3350,23781,1,0,0,4,9,2020,1330,47.56,-122.132,2870,12036,36,0,1
625000,7,28,4,2.5,1750,9000,1,0,0,3,8,1410,340,47.6403,-122.105,2120,9600,38,1,0
316500,4,8,3,1.75,1460,6360,1,0,2,3,7,1010,450,47.5311,-122.353,1400,4240,36,0,1
503045,7,22,3,3,1560,2250,2,0,0,3,9,1560,0,47.6929,-122.333,1610,4500,6,0,1
262000,9,26,3,2.5,1700,6200,2,0,0,3,8,1700,0,47.2621,-122.221,1720,6205,18,0,1
396000,4,13,2,1.5,950,865,3,0,0,3,8,950,0,47.6714,-122.382,1290,1189,9,0,1
725000,5,27,4,2.5,2740,12899,2,0,0,4,10,2740,0,47.5811,-122.028,2830,9453,25,0,1
429000,8,21,4,2.5,1840,4593,2,0,0,3,7,1840,0,47.6866,-122.013,1740,3600,5,0,1
346150,6,19,3,2,2140,7200,1,0,0,4,8,1480,660,47.5084,-122.185,2070,7220,49,0,1
255000,12,29,3,2.25,1320,963,2,0,0,3,7,1040,280,47.5199,-122.357,1300,1285,8,0,1
270000,3,25,3,2.25,2390,7000,1,0,0,4,7,1990,400,47.4568,-122.169,1610,7000,45,0,1
208000,7,14,2,1,820,5700,1,0,0,5,5,820,0,47.4915,-122.184,1000,5700,73,0,1
367950,8,13,3,1.75,2290,8234,1,0,0,4,7,1250,1040,47.7611,-122.351,1660,7200,65,0,1
335500,8,19,3,1.75,1260,8487,1,0,0,3,7,1260,0,47.7664,-122.201,1890,13051,45,0,1
432500,9,9,3,2.5,1340,8867,2,0,0,3,8,1340,0,47.724,-122.327,1630,7287,31,0,1
2150000,5,22,4,5.5,5060,10320,2,0,0,3,11,5060,0,47.6245,-122.21,3010,10080,7,0,1
625000,10,1,3,1.75,1660,4800,2,0,0,3,7,1660,0,47.6296,-122.308,1660,4800,109,1,0
413000,3,18,5,2.5,2900,8711,1,0,0,3,8,1650,1250,47.7752,-122.197,2340,8869,38,0,1
712500,4,25,3,1.75,1770,2800,1,0,0,3,7,1770,0,47.6631,-122.357,1630,3254,101,0,1
251000,2,26,3,2,1200,10212,1,0,0,5,6,1200,0,47.206,-121.998,1280,10212,66,0,1
399000,11,12,3,1,990,4250,1,0,0,4,7,840,150,47.5392,-122.39,990,4500,91,0,1
300000,6,2,4,2.5,2070,7476,2,0,0,3,8,2070,0,47.3352,-122.189,2430,5500,12,0,1
229950,9,24,5,2.75,2000,5885,1,0,0,3,7,1260,740,47.3155,-122.347,1960,6514,21,0,1
360000,7,22,3,1.75,1300,7770,1,0,0,3,7,1300,0,47.7347,-122.192,1520,7600,48,0,1
655000,3,27,3,2.5,2320,4721,2,0,0,3,8,2320,0,47.591,-122.017,2250,4356,11,0,1
334950,2,13,4,2.5,2230,5500,2,0,0,3,7,2230,0,47.3533,-122.023,1910,5500,16,0,1
265000,4,16,3,1.75,1330,12618,1,0,3,3,7,1330,0,47.4403,-122.271,1870,8429,32,0,1
303000,3,20,3,2.25,1340,873,3,0,0,3,8,1340,0,47.7325,-122.343,1340,1186,6,0,1
350000,4,30,5,1.75,1380,7620,1,0,0,3,7,1180,200,47.5279,-122.345,1990,7620,60,0,1
240000,12,3,3,1.5,1890,9000,1,0,0,3,7,1190,700,47.4425,-122.272,2060,9000,56,0,1
289000,9,24,3,2,1850,9550,1,0,0,3,8,1850,0,47.3225,-122.273,2250,9550,27,0,1
565500,4,3,3,1.75,1780,5850,1,0,0,5,7,980,800,47.5589,-122.392,1550,5850,71,0,1
238000,8,29,1,1,530,6350,1,0,0,5,5,530,0,47.6946,-122.357,1200,6350,74,0,1
235000,8,26,2,1,910,7617,1,0,0,3,6,910,0,47.7332,-122.305,1310,6624,79,0,1
330000,8,4,3,1.75,1460,9261,1,0,0,3,7,1460,0,47.5155,-122.189,1550,8800,30,0,1
612000,4,17,3,2.5,2120,7401,2,0,0,3,8,2120,0,47.5781,-122.018,2010,7972,26,0,1
420000,12,12,3,1.5,1780,5000,1,0,4,4,7,1030,750,47.5168,-122.256,1780,7500,57,0,1
250000,6,5,3,2.5,1510,10384,1,0,0,2,7,1030,480,47.758,-122.071,1490,10000,39,0,1
580000,3,19,3,1.75,1950,10633,1,0,0,3,7,1250,700,47.7019,-122.313,1290,6380,37,0,1
385195,10,29,1,1,710,6000,1,0,0,3,6,710,0,47.5756,-122.316,1440,4800,0,0,1
240000,5,8,3,1,1310,7125,1,0,0,4,7,1310,0,47.3739,-122.148,1650,7290,37,0,1
779000,8,26,3,1.75,2320,6400,1,0,2,4,8,1420,900,47.6449,-122.389,2540,7680,58,0,1
812000,6,20,3,3.25,3240,8338,2,0,0,3,9,3240,0,47.6321,-122.064,3420,8405,14,0,1
652500,5,6,4,1.75,3130,18253,2,0,0,3,7,3130,0,47.7402,-122.348,1850,12220,37,0,1
299000,7,28,3,2.5,1590,3121,2,0,0,3,7,1590,0,47.5515,-122.284,1090,4900,21,0,1
811000,10,14,3,1.75,1870,9897,1,0,0,4,8,1870,0,47.5505,-122.221,1900,10005,55,0,1
500000,11,25,4,4.5,2690,7350,1,0,0,5,7,2690,0,47.7062,-122.311,1660,9000,66,0,1
308500,5,2,2,1,850,6174,1,0,0,4,7,850,0,47.7352,-122.328,1100,6174,65,0,1
410000,7,24,3,2.5,1740,4948,2,0,0,3,7,1740,0,47.6966,-122.025,1290,3383,7,0,1
525000,7,2,2,1.75,1530,3503,1,0,1,4,7,830,700,47.6368,-122.371,1280,1531,99,0,1
175000,10,17,2,1,960,5508,1,0,0,3,6,770,190,47.5307,-122.277,1280,5304,64,0,1
399950,12,3,4,3,2150,64694,1,0,0,3,8,1450,700,47.3268,-122.388,2430,59612,46,0,1
975000,12,9,4,2.25,2420,15482,2,0,0,4,8,2420,0,47.5907,-122.196,2870,13905,90,1,0
248000,4,2,3,1.75,1840,19501,1,0,0,4,8,1270,570,47.3364,-122.318,1910,12000,43,0,1
1680000,5,24,4,4.25,5584,68257,2,0,0,3,11,5584,0,47.6113,-121.952,5030,101901,17,0,1
289900,12,15,3,1.75,1899,11325,2,0,0,3,7,1899,0,47.3987,-122.3,2000,10454,72,1,0
743000,6,12,3,1.75,2110,11250,1,0,0,4,8,2110,0,47.5402,-122.216,2560,10992,54,0,1
575000,11,5,5,2.25,3550,7992,2,0,0,3,8,3550,0,47.7285,-122.179,2110,7992,47,0,1
518500,8,21,4,3,2120,5520,1,0,0,3,8,1420,700,47.7085,-122.286,2020,8700,30,0,1
333000,9,16,4,1.75,1880,9880,1,0,0,4,8,1880,0,47.4551,-122.151,1880,9600,48,0,1
379950,5,5,4,1.75,1970,9389,1,0,0,5,7,1140,830,47.7771,-122.339,1820,8135,55,0,1
520500,4,15,6,2.5,1880,14350,1,0,0,5,7,1640,240,47.7556,-122.352,1510,9840,60,0,1
649000,8,18,4,2,2240,11040,1,0,0,5,8,1120,1120,47.693,-122.168,1790,11040,54,0,1
322000,12,12,4,1,1750,68841,1,0,0,3,7,1750,0,47.4442,-122.081,1550,32799,73,0,1
716000,3,27,3,1.5,1140,4800,1,0,0,3,7,1140,0,47.6368,-122.354,1260,4800,100,0,1
308950,7,8,4,2.5,1920,8562,2,0,2,4,7,1920,0,47.1932,-122.008,1820,8628,21,0,1
672500,10,21,4,2.5,3470,6651,2,0,0,3,9,3470,0,47.5426,-121.879,2730,6179,10,0,1
384950,9,2,3,1,1540,7740,1,0,0,4,7,1540,0,47.522,-122.375,1220,7740,106,0,1
905000,12,31,3,2.5,3520,237402,2,0,0,3,9,3520,0,47.2687,-122.056,2310,165963,11,0,1
449500,6,3,5,2.75,2040,7488,1,0,0,4,7,1200,840,47.7289,-122.172,1530,7488,46,0,1
165000,1,20,2,1,780,6380,1,0,0,3,6,780,0,47.5423,-122.351,1270,6960,68,0,1
427000,6,16,3,2.5,1830,65340,1,0,0,3,8,1520,310,47.4553,-121.75,2100,84942,24,0,1
180000,1,8,3,1,1020,5500,1,0,0,3,7,1020,0,47.5502,-122.286,1160,5500,54,0,1
309000,4,20,4,2,2240,9240,1,0,0,3,7,1120,1120,47.3666,-122.288,2040,8250,47,0,1
285000,5,7,3,1.75,1600,7500,1,0,0,3,7,1600,0,47.2831,-122.199,1620,7461,17,0,1
544000,1,30,3,2.5,1760,1755,3,0,0,3,8,1760,0,47.6688,-122.279,1700,1721,17,0,1
635000,7,25,4,2.5,2490,40608,2,0,0,3,9,2490,0,47.6507,-122.004,3170,45441,18,0,1
450000,5,12,3,1.5,1770,17208,1,0,0,3,8,1160,610,47.5659,-122.117,2450,17118,56,0,1
365000,8,27,3,2.5,2200,9696,2,0,0,3,8,2200,0,47.4197,-122.205,2200,9915,28,0,1
685000,12,11,4,2.5,2770,10051,2,0,0,3,10,2770,0,47.6288,-122.043,2730,10675,28,0,1
745000,4,17,5,3,2400,10126,2,0,3,3,8,2400,0,47.5726,-122.373,2250,3946,34,0,1
215000,3,16,2,2,1180,2521,2,0,0,3,6,1180,0,47.3487,-122.021,1310,3003,10,0,1
650000,4,20,4,2.5,3160,8530,2,0,0,3,9,3160,0,47.5075,-122.148,3160,6460,9,0,1
300000,11,5,3,1,970,12300,1,0,0,3,7,970,0,47.7335,-122.227,2040,9994,33,0,1
780000,2,27,3,3.5,3310,5558,2,0,0,3,9,3310,0,47.5553,-122.003,3310,5270,10,0,1
659000,12,8,4,2,2350,9329,2,0,0,3,8,2350,0,47.583,-122.17,1640,9403,38,0,1
980000,4,10,5,4,3460,5400,2,0,0,3,10,2830,630,47.5201,-122.204,1890,5400,3,0,1
735000,1,16,4,3.5,3100,5600,2,0,0,3,9,3100,0,47.5968,-121.978,3080,5600,10,0,1
175000,7,21,3,1,1030,6600,1,0,0,3,7,1030,0,47.4941,-122.34,1220,9040,61,0,1
802000,9,4,4,2.25,2130,8734,2,0,2,4,8,2130,0,47.5672,-122.161,2550,8800,54,0,1
320000,6,26,3,2,1550,34175,1,0,0,3,7,1550,0,47.4855,-121.698,2300,35174,16,0,1
505000,1,15,2,1.75,1310,3816,1,0,0,2,7,1110,200,47.679,-122.368,1510,3816,86,0,1
539500,12,24,4,2.25,2280,8550,1,0,0,3,8,1660,620,47.701,-122.231,2590,9500,38,0,1
625000,1,21,4,2.5,2740,9599,1,0,2,3,8,1820,920,47.7728,-122.385,2660,8280,54,0,1
485500,4,8,4,2.5,2320,3974,2,0,0,3,7,2320,0,47.532,-121.88,2620,4539,16,0,1
707000,4,24,5,2.5,3050,13212,1,0,0,4,8,1590,1460,47.5596,-122.142,2550,10826,40,0,1
639000,8,12,4,1.75,1830,6000,1,0,0,4,7,930,900,47.6536,-122.41,1540,6000,76,0,1
550000,2,4,2,1,1270,43560,1,0,0,4,5,1270,0,47.3651,-122.165,1870,6960,107,0,1
705000,2,23,5,3.5,3250,4800,2,0,0,3,9,2410,840,47.5618,-122.362,1330,4920,5,0,1
557800,4,9,4,1.75,1550,6000,1,0,0,5,7,1550,0,47.6567,-122.399,1550,6000,71,0,1
360000,7,16,4,1.75,2140,49658,1,0,0,5,7,2140,0,47.3583,-121.922,1720,99316,56,0,1
410000,12,24,3,1.75,1340,9975,1,0,0,4,7,1340,0,47.7012,-122.169,1340,10050,54,0,1
250000,10,8,3,1.75,1360,16000,1,0,0,3,7,1360,0,47.7583,-122.306,1360,12939,37,0,1
800000,4,20,4,2.75,3010,7427,2,0,0,3,8,3010,0,47.7068,-122.112,3000,4929,5,0,1
275000,3,30,3,1.5,1400,9750,1,0,0,4,6,1400,0,47.3768,-122.17,1160,9750,51,0,1
456000,8,28,3,2,1870,8442,1,0,0,5,7,1060,810,47.6964,-122.365,1640,6174,88,0,1
1415000,8,11,4,3,3110,4408,2,0,3,4,10,2510,600,47.6583,-122.27,3250,5669,84,0,1
840000,7,21,4,2.25,2720,8712,2,0,0,4,9,2720,0,47.5616,-122.153,2470,8714,39,0,1
444900,3,18,4,2.5,3120,7448,2,0,0,3,9,3120,0,47.3645,-122.126,2980,8102,17,0,1
644000,4,9,4,2.5,3310,4839,2,0,0,3,9,3310,0,47.773,-122.161,3240,5280,8,0,1
412000,4,20,4,3,2430,7242,2,0,0,3,8,2430,0,47.3533,-122.015,2430,7242,12,0,1
780000,3,25,5,1.75,2330,3800,1,0,0,3,7,1360,970,47.6835,-122.308,2100,3800,88,0,1
265000,2,12,4,1.75,1860,9112,1,0,0,4,7,1110,750,47.3792,-122.282,1570,9112,52,0,1
439000,5,12,3,2.25,1430,2343,2,0,0,3,8,1430,0,47.5648,-122.294,1270,1916,3,0,1
700000,5,12,4,1.75,1980,10800,1,0,0,4,8,1320,660,47.5899,-122.173,2310,10800,62,0,1
535000,7,28,4,2.75,2710,45963,2,0,0,3,9,2710,0,47.4745,-121.724,2710,33955,20,0,1
665000,5,7,5,2.75,2670,4000,2,0,0,4,7,1800,870,47.6711,-122.315,2460,4000,101,0,1
439990,7,3,3,2.5,1930,1348,2,0,0,3,8,1300,630,47.6513,-122.384,1630,6000,10,0,1
577000,2,5,4,2.25,2360,7490,2,0,0,3,8,2360,0,47.6988,-122.169,2360,7490,36,0,1
267000,8,20,3,2.5,1580,12250,2,0,0,3,8,1580,0,47.3771,-122.315,1560,9900,22,0,1
247500,3,2,3,2.25,1620,6000,1,0,0,3,7,1280,340,47.2835,-122.2,1710,6318,17,0,1
984000,1,12,4,2.25,2390,12292,1,0,0,5,9,2390,0,47.5528,-122.221,2870,12337,53,0,1
445000,10,21,3,3.25,1710,1960,2,0,0,3,8,1360,350,47.5479,-122.003,1420,955,11,0,1
206000,4,17,3,1,1320,9239,1,0,0,4,7,1320,0,47.312,-122.183,1320,8415,47,0,1
856000,2,17,3,1.5,1480,2700,1,0,0,3,7,1480,0,47.623,-122.304,1970,4200,87,0,1
330000,10,13,2,1,700,4000,1,0,0,3,6,700,0,47.5487,-122.391,1060,6000,72,0,1
269500,6,17,2,1.5,1480,7276,1,0,0,4,6,940,540,47.4942,-122.166,1090,6710,37,0,1
314000,10,27,2,1,720,4920,1,0,0,3,6,720,0,47.5352,-122.371,670,4920,74,0,1
430000,2,24,3,2.5,2670,12806,2,0,0,3,9,2670,0,47.3686,-122.059,3010,7231,5,0,1
480000,4,20,2,1.5,1008,26487,1,1,4,4,6,1008,0,47.3853,-122.479,1132,24079,72,1,0
595000,11,14,3,2.5,2030,5100,2,0,0,3,7,2030,0,47.6594,-122.397,1790,4380,7,0,1
506500,9,10,4,2.5,1890,7200,1,0,0,4,7,1500,390,47.7278,-122.218,2070,7200,37,0,1
350500,10,8,2,2.5,1770,4950,1,0,0,3,7,1770,0,47.3497,-122.025,1770,4500,12,0,1
435000,3,12,3,2,2660,16677,1,0,0,3,9,2210,450,47.3689,-122.055,2660,11355,25,0,1
924000,5,19,3,1.5,2200,5000,1,0,0,3,9,2200,0,47.6404,-122.408,2860,5000,83,0,1
221000,10,29,4,1.75,1540,7200,1,0,0,3,7,1260,280,47.3424,-122.308,1540,8416,49,0,1
272000,9,26,4,2.5,2070,6175,2,0,0,3,8,2070,0,47.3262,-122.174,1940,6175,22,0,1
595000,3,27,4,1.75,1880,4080,1,0,0,3,7,940,940,47.6754,-122.327,1410,4080,91,0,1
475000,12,2,4,2.5,2240,7245,1,0,0,4,7,1140,1100,47.7161,-122.17,1740,7350,43,0,1
770000,2,19,4,3.25,4270,6384,2,0,0,3,9,3060,1210,47.5362,-121.874,2850,6285,14,0,1
485000,11,7,3,2.25,2900,35273,2,0,0,3,9,2900,0,47.4013,-122.03,2510,38487,29,0,1
310000,7,30,3,2,2010,12950,1,0,0,3,8,2010,0,47.7222,-122.229,1490,10181,62,0,1
3075000,6,24,4,5,4550,18641,1,1,4,3,10,2600,1950,47.6053,-122.077,4550,19508,13,0,1
1570000,11,10,5,4.5,6070,14731,2,0,0,3,11,6070,0,47.5306,-122.134,4750,13404,11,0,1
301000,5,12,2,1,910,9000,1,0,0,3,5,910,0,47.526,-121.81,1290,9000,92,0,1
130000,10,21,2,1,840,6654,1,0,0,3,7,840,0,47.7319,-122.335,1350,5831,64,0,1
360000,9,16,5,2.5,2130,7111,1,0,0,3,7,1330,800,47.5071,-122.16,1840,7592,47,0,1
855000,8,6,5,3.25,3420,5669,2,0,0,3,9,2620,800,47.5366,-122.067,3310,6006,12,0,1
740000,9,5,4,2,2050,4400,1,0,0,4,9,2050,0,47.644,-122.319,2320,5500,93,0,1
430000,7,23,6,3,2630,8800,1,0,0,3,7,1610,1020,47.7166,-122.293,1220,1173,56,0,1
400000,6,20,3,1,1430,10005,1,0,0,4,7,1430,0,47.7181,-122.338,1720,8822,65,0,1
772500,3,3,4,1,1720,4410,1,0,2,3,7,1720,0,47.6791,-122.402,2140,4500,87,0,1
390000,10,17,3,1,1040,8075,1,0,0,4,7,1040,0,47.6701,-122.176,1450,8075,54,0,1
1150000,7,1,4,2.5,3340,10422,2,0,0,3,10,3340,0,47.6515,-122.197,1770,9490,19,0,1
379500,6,13,3,2.25,1410,1287,2,0,0,3,7,1290,120,47.5344,-122.068,1490,1435,10,0,1
406000,3,31,2,2,1110,1095,3,0,0,3,7,980,130,47.5494,-122.388,1110,1083,7,0,1
550000,2,25,3,1,1260,6000,1,0,3,3,7,1260,0,47.5058,-122.384,2020,6600,64,0,1
480000,5,20,4,2.75,2050,3960,1,0,0,4,7,1180,870,47.5808,-122.394,1440,5040,29,0,1
614285,12,31,5,2.75,2730,6401,2,0,0,3,8,2730,0,47.7685,-122.16,2520,6126,0,0,1
365000,11,18,3,1.75,1290,7205,1,0,0,3,7,1290,0,47.7329,-122.237,1340,7214,44,0,1
320000,3,16,3,1.5,1490,10132,1,0,0,4,6,1490,0,47.4779,-122.145,1720,9915,46,0,1
397990,6,12,3,1,1180,11862,1,0,0,4,7,1180,0,47.7153,-122.363,1540,8100,67,0,1
297500,6,5,4,2.5,1910,5000,2,0,0,3,7,1910,0,47.3608,-122.036,2020,5000,10,0,1
245000,2,19,3,1.5,1330,7125,2,0,0,3,7,1330,0,47.7308,-122.194,1570,7350,47,0,1
1950000,3,5,4,3.75,4150,17424,1,0,0,3,9,3130,1020,47.639,-122.236,3930,21420,52,1,0
222000,3,24,3,1,1220,7695,1,0,0,3,7,1220,0,47.5191,-122.339,1210,7412,61,0,1
